Mã,Công ty,Ngành,Khối lượng NY/ĐKGD
DAH,Công ty cổ phần Tập đoàn Khách sạn Đông Á,Khách sạn,84200000
DAT,Công ty cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,Nuôi trồng nông & hải sản,62935104
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Nuôi trồng nông & hải sản,242001859
DBD,Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định,Dược phẩm,74883559
DBT,Công ty Cổ phần Dược phẩm Bến Tre,Dược phẩm,16325477
DC4,Công ty cổ phần Xây dựng DIC Holdings,Xây dựng,52499723
DCL,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm,73041030
DCM,Công ty Cổ phần Phân Bón Dầu khí Cà Mau,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",529400000
DGC,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",379779286
DGW,Công ty Cổ phần Thế giới Số,Phân phối hàng chuyên dụng,163224443
DHA,Công ty Cổ phần Hoá An,Vật liệu xây dựng & Nội thất,15119946
DHC,Công ty Cổ phần Đông Hải Bến Tre,Sản xuất giấy,80493048
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm,130746071
DHM,Công ty cổ phần thương mại và khai thác khoáng sản Dương Hiếu,Khai khoáng,31396180
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản,609851995
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Lâm sản và Chế biến gỗ,299309720
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế Domesco,Dược phẩm,34727465
DPG,Công ty Cổ phần Đạt Phương,Xây dựng,62999554
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí-Công ty Cổ phần,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",391400000
DPR,Công ty Cổ phần Cao su Đồng Phú,"Nhựa, cao su & sợi",43442966
DQC,Công ty Cổ phần Bóng đèn Điện Quang,Thiết bị gia dụng,34359416
DRC,Công ty Cổ phần Cao Su Đà Nẵng,Lốp xe,118792605
DRH,Công ty Cổ phần DRH Holdings,Bất động sản,124353866
DRL,Công ty Cổ phần Thủy điện – Điện lực 3,Sản xuất & Phân phối Điện,9500000
DSN,Công ty Cổ phần Công viên nước Đầm Sen,Dịch vụ giải trí,12083009
DTA,Công ty Cổ phần Đệ Tam,Bất động sản,18059832
DTL,Công ty Cổ phần Đại Thiên Lộc,Thép và sản phẩm thép,61435604
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,"Nhựa, cao su & sợi",8151820
DVP,Công ty Cổ phần Đầu tư và Phát triển cảng Đình Vũ,"Kho bãi, hậu cần và bảo dưỡng",40000000
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,611779002
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,"Tư Vấn, Định giá, Môi giới Bất động sản",453122377
DXV,Công ty Cổ phần ViCem Vật liệu xây dựng Đà Nẵng,Vật liệu xây dựng & Nội thất,9900000
